Statistical profiling result from isolate-0x104000c00-v8.log, (237491 ticks, 256 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.0%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
  171330   72.1%   72.1%  LazyCompile: *locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
  28644   12.1%   12.1%  LazyCompile: *slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
  15875    6.7%    6.7%  LazyCompile: *findNextLargestToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:27:57
   1802    0.8%    0.8%  Builtin: CreateTypedArray
    670    0.3%    0.3%  Builtin: Divide
    621    0.3%    0.3%  Builtin: TypedArrayInitializeWithBuffer
    554    0.2%    0.2%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
    114    0.0%    0.0%  Builtin: Add
     90    0.0%    0.0%  Builtin: GreaterThan
     56    0.0%    0.0%  LazyCompile: *adjustOffset buffer.js:991:22
     39    0.0%    0.0%  LazyCompile: *_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
     26    0.0%    0.0%  LazyCompile: *serializePacketToBinary /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:30:63
     21    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
     18    0.0%    0.0%  LazyCompile: *slice buffer.js:1008:40
     14    0.0%    0.0%  LazyCompile: *unpackIntegerByte /Users/burtol86/lisa-workspace/libz7/lib/unpack-integer-to-byte.js:8:51
     14    0.0%    0.0%  LazyCompile: *push internal/streams/buffer_list.js:17:7
     14    0.0%    0.0%  Builtin: RecordWrite
     13    0.0%    0.0%  LazyCompile: *concat buffer.js:456:32
     10    0.0%    0.0%  LazyCompile: *<anonymous> /Users/burtol86/lisa-workspace/libz7/samplestarget/filecompress.js:25:43
      9    0.0%    0.0%  Builtin: Call_ReceiverIsAny
      8    0.0%    0.0%  LazyCompile: ~_transform /Users/burtol86/lisa-workspace/libz7/lib/compressor-transformer.js:63:31
      8    0.0%    0.0%  LazyCompile: *lookAhead /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:32:30
      6    0.0%    0.0%  LazyCompile: ~locateToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:43:39
      6    0.0%    0.0%  LazyCompile: *ondata _stream_readable.js:664:18
      5    0.0%    0.0%  LazyCompile: ~Transform.push _stream_transform.js:149:36
      5    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:372:35
      4    0.0%    0.0%  LazyCompile: ~unpackIntegerByte /Users/burtol86/lisa-workspace/libz7/lib/unpack-integer-to-byte.js:8:51
      4    0.0%    0.0%  LazyCompile: ~serializePacketToBinary /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:30:63
      4    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:268:36
      4    0.0%    0.0%  LazyCompile: *lookBack /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:38:29
      4    0.0%    0.0%  LazyCompile: *from buffer.js:200:28
      4    0.0%    0.0%  Builtin: StoreIC
      4    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      3    0.0%    0.0%  LazyCompile: ~ondata _stream_readable.js:664:18
